Различия в данных ожидаемых и реальных связано с малым количеством отправленных заявок. Как можно увидеть, чем ближе друг к другу интенсивность потока заявок и интенсивность их обслуживания, тем меньше их вероятность простоя и отклонения.
Теоретические данные отличаются от экспермиментальных в связи стем, что отправляется относительно малое количество заявок (100 штук в каждом эксперименте)
Вероятность простоя тем меньше, чем ближе друг к другу интенсивность потока заявок и интенсивность их обслуживания
Вероятность отказа тем меньше чем больше интенсивность обслуживания заявок по сранению с интенсивностью их потока
То же самое можно сказать про относительную и абсолютную пропускную способность, а так же про среднее число занятых каналов
Отрицательные значения иногда встречаются из-за ограничений вычисления чисел с плавающей точкой

Количестве каналов: 5
лямбда   мю       P0(эксп.- теор.)   Pn(эксп.- теор.)   Q(эксп. - теор.)   A(эксп. - теор.)   k(эксп. - теор.)
3,00000; 0,50000; 0,00046 - 0,00870; 0,16000 - 0,56348; 0,84000 - 0,43652; 2,52000 - 1,30957; 4,76923 - 2,61913
3,00000; 1,00000; 0,00046 - 0,06107; 0,00000 - 0,12366; 1,00000 - 0,87634; 3,00000 - 2,62901; 2,89476 - 2,62901
3,00000; 1,50000; 0,00046 - 0,14286; 0,00000 - 0,03810; 1,00000 - 0,96190; 3,00000 - 2,88571; 1,93349 - 1,92381
3,00000; 2,00000; 0,00046 - 0,22735; 0,00000 - 0,01439; 1,00000 - 0,98561; 3,00000 - 2,95684; 1,47822 - 1,47842
3,00000; 2,50000; 0,00046 - 0,30355; 0,00000 - 0,00629; 1,00000 - 0,99371; 3,00000 - 2,98112; 1,16774 - 1,19245
3,00000; 3,00000; 0,00417 - 0,36923; 0,00000 - 0,00308; 1,00000 - 0,99692; 3,00000 - 2,99077; 0,99583 - 0,99692
3,00000; 3,50000; 0,15111 - 0,42518; 0,00000 - 0,00164; 1,00000 - 0,99836; 3,00000 - 2,99508; 0,84889 - 0,85574
3,00000; 4,00000; 0,23330 - 0,47287; 0,00000 - 0,00094; 1,00000 - 0,99906; 3,00000 - 2,99719; 0,76670 - 0,74930
3,00000; 4,50000; 0,32763 - 0,51374; 0,00000 - 0,00056; 1,00000 - 0,99944; 3,00000 - 2,99831; 0,67191 - 0,66629
3,00000; 5,00000; 0,41991 - 0,54903; 0,00000 - 0,00036; 1,00000 - 0,99964; 3,00000 - 2,99893; 0,57963 - 0,59979
3,00000; 5,50000; 0,46108 - 0,57973; 0,00000 - 0,00023; 1,00000 - 0,99977; 3,00000 - 2,99930; 0,53892 - 0,54533
3,00000; 6,00000; 0,51434 - 0,60664; 0,00000 - 0,00016; 1,00000 - 0,99984; 3,00000 - 2,99953; 0,48519 - 0,49992
3,50000; 0,50000; 0,00054 - 0,00527; 0,28000 - 0,73828; 0,72000 - 0,26172; 2,52000 - 0,91601; 4,72757 - 1,83202
3,50000; 1,00000; 0,00054 - 0,04163; 0,00000 - 0,18219; 1,00000 - 0,81781; 3,50000 - 2,86234; 3,35622 - 2,86234
3,50000; 1,50000; 0,00054 - 0,10629; 0,00000 - 0,06126; 1,00000 - 0,93874; 3,50000 - 3,28557; 2,22793 - 2,19038
3,50000; 2,00000; 0,00054 - 0,17969; 0,00000 - 0,02458; 1,00000 - 0,97542; 3,50000 - 3,41398; 1,72419 - 1,70699
